Index,City ID,City Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
82,3393115,Paracuru,BR,-3.41,-39.03,26.0,88,40,3.6,1585384279
83,2264557,Ponta do Sol,PT,32.67,-17.1,15.0,77,40,2.6,1585384374
84,3576663,Laborie,LC,13.75,-60.98,23.89,75,3,1.79,1585384374
85,6111862,Port Hardy,CA,50.7,-127.42,7.0,93,75,2.6,1585384374
86,2191562,Dunedin,NZ,-45.87,170.5,10.56,71,68,2.17,1585384137
87,4020109,Atuona,PF,-9.8,-139.03,27.52,75,38,7.87,1585384375
88,3372707,Ribeira Grande,PT,38.52,-28.7,13.0,87,75,3.6,1585384375
89,3430863,Mar del Plata,AR,-38.0,-57.56,20.0,100,90,1.5,1585384140
90,2246901,Oussouye,SN,12.48,-16.55,22.0,73,74,3.1,1585384376
91,6167817,Torbay,CA,47.67,-52.73,0.56,96,90,6.2,1585384376
92,2155415,New Norfolk,AU,-42.78,147.06,22.0,46,65,6.2,1585384376
93,215605,Kabare,CD,-2.47,28.82,20.02,54,96,1.21,1585384376
94,2729907,Longyearbyen,SJ,78.22,15.64,-18.0,59,75,8.2,1585384376
95,4898433,Kewanee,US,41.25,-89.92,12.22,100,90,6.7,1585384377
96,2456917,Goundam,ML,16.41,-3.67,34.6,11,68,5.47,1585384377
97,2092164,Lorengau,PG,-2.02,147.27,28.46,77,45,2.42,1585384377
98,2094027,Kieta,PG,-6.22,155.63,27.57,78,100,2.33,1585384377
99,3533556,Zaza del Medio,CU,22.0,-79.37,18.71,91,0,2.39,1585384378
100,6185377,Yellowknife,CA,62.46,-114.35,-26.67,68,5,2.1,1585384378
101,108410,Riyadh,SA,24.69,46.72,33.0,16,90,3.6,1585384220
102,2399697,Libreville,GA,0.39,9.45,30.0,74,20,1.0,1585384182
103,3445026,Vila Velha,BR,-20.33,-40.29,21.67,94,40,2.69,1585384378
104,5861897,Fairbanks,US,64.84,-147.72,-16.0,54,1,4.1,1585384260
105,3366880,Hermanus,ZA,-34.42,19.23,20.0,79,9,2.24,1585384379
106,4986020,Big Rapids,US,43.7,-85.48,6.11,86,90,2.6,1585384379
107,546105,Nikolskoye,RU,59.7,30.79,9.0,34,11,4.0,1585384379
108,2450173,Taoudenni,ML,22.68,-3.98,27.7,23,34,1.63,1585384379
109,6137462,Saint-Augustin,CA,51.23,-58.65,0.06,97,100,0.68,1585384380
110,5746545,Portland,US,45.52,-122.68,8.33,87,90,3.1,1585384161
111,5563839,Fortuna,US,40.6,-124.16,9.0,93,90,3.16,1585384380
112,1244926,Hambantota,LK,6.12,81.12,34.0,49,40,3.1,1585384380
113,2122090,Pevek,RU,69.7,170.31,-15.82,82,47,6.02,1585384381
114,110690,Faya,SA,18.39,42.45,23.0,38,99,9.3,1585384381
115,2109528,Buala,SB,-8.14,159.59,27.49,80,94,2.89,1585384381
116,2209055,Waddān,LY,29.16,16.14,24.07,18,9,5.83,1585384381
117,2447513,Arlit,NE,18.74,7.39,33.39,8,45,3.97,1585384382
118,2160735,Lakes Entrance,AU,-37.88,147.98,19.92,64,10,4.71,1585384382
119,3397967,Itaituba,BR,-4.28,-55.98,23.1,90,100,0.71,1585384382
120,2685750,Östersund,SE,63.18,14.64,0.0,63,20,8.7,1585384382
121,1486321,Yar-Sale,RU,66.83,70.83,-2.79,96,58,4.46,1585384383
122,5557293,Sitka,US,57.05,-135.33,1.0,96,90,1.5,1585384383
123,172515,Abu Samrah,SY,35.3,37.18,18.91,41,90,7.24,1585384383
124,2110227,Butaritari,KI,3.07,172.79,27.68,82,97,8.28,1585384383
125,3837702,San Fernando del Valle de Catamarca,AR,-28.47,-65.79,20.0,86,4,0.89,1585384384
126,1812754,Dingtao,CN,35.07,115.56,14.08,32,98,2.39,1585384384
127,2156643,Mount Gambier,AU,-37.83,140.77,28.0,39,100,3.1,1585384384
128,3652764,Puerto Ayora,EC,-0.74,-90.35,23.89,84,1,0.89,1585384384
129,3421982,Maniitsoq,GL,65.42,-52.9,-2.73,97,100,4.04,1585384384
130,964406,Port Shepstone,ZA,-30.74,30.45,25.2,56,12,8.24,1585384385
131,6050066,La Ronge,CA,55.1,-105.28,-4.0,92,90,3.6,1585384385
